original,apple
Overige contact­gegevens van gebruiker,Other User Contact Info
Overige diagnostische gegevens,Other Diagnostic Data
Overige financiële gegevens,Other Financial Info
Overige gebruikers­content,Other User Content
Overige gebruiks­gegevens,Other Usage Data
Overige typen gegevens,Other Data Types
Övrig ekonomisk information,Other Financial Info
Övrig kontakt­infor­mation för an­vän­daren,Other User Contact Info
Övriga användningsdata,Other Usage Data
Övriga datatyper,Other Data Types
Övriga diagnostikdata,Other Diagnostic Data
Övrigt användarinnehåll,Other User Content
Payment Info,Payment Info
Performance Data,Performance Data
Phone Number,Phone Number
Photos or Videos,Photos or Videos
Photos ou vidéos,Photos or Videos
Physical Address,Physical Address
Physische Adresse,Physical Address
Posizione approssimativa,Coarse Location
Posizione precisa,Precise Location
Precise Location,Precise Location
Prestandadata,Performance Data
Prestatie­gegevens,Performance Data
Product Interaction,Product Interaction
Product-interactie,Product Interaction
Produkt­interaktion,Product Interaction
Purchase History,Purchase History
Reclamegegevens,Advertising Data
Ruwe locatie,Coarse Location
Salud,Health
Salute,Health
Santé,Health
Saúde,Health
Search History,Search History
Sensitive Info,Sensitive Info
Servicio de soporte técnico,Customer Support
Sökhistorik,Search History
Sonstige Benutzer-Kontaktinforma­tionen,Other User Contact Info
Sonstige Benutzerinhalte,Other User Content
Sonstige Datentypen,Other Data Types
Sonstige Diagnosedaten,Other Diagnostic Data
Sonstige Finanz­informationen,Other Financial Info
Sonstige Nutzungsdaten,Other Usage Data
Spelinnehåll,Gameplay Content
Spielszenen­inhalte,Gameplay Content
Suchverlauf,Search History
Suporte ao cliente,Search History
Telefonnummer,Phone Number
Telefoonnummer,Phone Number
Ubicación aproximada,Coarse Location
Ubicación exacta,Precise Location
Ungefährer Standort,Coarse Location
Ungefärlig plats,Coarse Location
User ID,User ID
Vertrauliche Daten,Sensitive Info
Vertrouwelijke informatie,Credit Info
Werbedaten,Advertising Data
Zahlungsdaten,Payment Info
Zoekgeschiedenis,Search History
Адрес электронной почты,Email Address
Аудиоданные,Audio Data
Взаимодействие с продуктом,Product Interaction
Данные о производитель­ности,Performance Data
Данные о сбоях,Crash Data
Другая финансовая информация,Other Financial Info
Другие данные диагностики,Other Diagnostic Data
Другие данные об использова­нии,Other Usage Data
Другие типы данных,Other Data Types
Другой пользователь­ский контент,Other User Content
Здоровье,Health
Игровой контент,Gameplay Content
Имя,Name
История поиска,Search History
История покупок,Purchase History
История просмотров,Browsing History
Контакты,Contacts
Конфиден­циаль­ные данные,Sensitive Info
Кредитная информация,Credit Info
Номер телефона,Phone Number
Платежная информация,Payment Info
Поддержка пользователей,Customer Support
Приблизитель­ная геолокация,Coarse Location
Прочие контактные данные,Other User Contact Info
Рекламные данные,Advertising Data
Точная геолокация,Precise Location
Физический адрес,Physical Address
Фитнес,Fitness
Фотографии или видео,Photos or Videos
Электронные или текстовые сообщения,Emails or Text Messages
건강,Health
검색 기록,Search History
게임 플레이 콘텐츠,Gameplay Content
고객 지원,Customer Support
광고 데이터,Advertising Data
구입 내역,Purchase History
기기 ID,Device ID
기타 데이터 유형,Other Data Types
기타 사용 데이터,Other Usage Data
기타 사용자 연락처 정보,Other User Contact Info
기타 사용자 콘텐츠,Other User Content
기타 재무 정보,Other Financial Info
기타 진단 데이터,Other Diagnostic Data
대략적인 위치,Coarse Location
민감 정보,Sensitive Info
방문 기록,Browsing History
사용자 ID,User ID
사진 또는 비디오,Photos or Videos
신용 정보,Credit Info
실적 데이터,Performance Data
연락처,Contacts
오디오 데이터,Audio Data
이름,Name
이메일 또는 문자 메시지,Emails or Text Messages
이메일 주소,Email Address
전화번호,Phone Number
정확한 위치,Precise Location
제품 상호 작용,Product Interaction
주소,Physical Address
지불 정보,Payment Info
충돌 데이터,Crash Data
피트니스,Fitness
产品交互,Product Interaction
付款信息,Payment Info
付款資料,Payment Info
付款資訊,Payment Info
使用者識別碼,User ID
信用信息,Credit Info
信用資訊,Credit Info
信貸資料,Credit Info
健康,Health
健身,Fitness
其他使用数据,Other Usage Data
其他使用狀況資料,Other Usage Data
其他使用者內容,Other User Content
其他使用者聯絡資訊,Other User Contact Info
其他使用資料,Other Usage Data
其他数据类型,Other Data Types
其他用户內容,Other User Content
其他用户内容,Other User Content
其他用户联系信息,Other User Contact Info
其他用户聯絡資料,Other User Contact Info
其他診斷資料,Other Diagnostic Data
其他诊断数据,Other Diagnostic Data
其他財務資料,Other Financial Info
其他財務資訊,Other Financial Info
其他資料類型,Other Data Types
其他财务信息,Other Financial Info
大概位置,Coarse Location
姓名,Name
实际地址,Physical Address
客戶支援,Customer Support
客户支持,Customer Support
客户支援,Customer Support
實體地址,Physical Address
崩溃数据,Crash Data
广告数据,Advertising Data
廣告資料,Advertising Data
性能数据,Performance Data
搜尋記錄,Search History
搜索历史记录,Search History
效能資料,Fitness
敏感信息,Sensitive Info
敏感資料,Sensitive Info
敏感資訊,Sensitive Info
浏览历史记录,Browsing History
游戏内容,Gameplay Content
準確位置,Coarse Location
瀏覽記錄,Browsing History
照片或影片,Photos or Videos
照片或视频,Photos or Videos
產品互動,Product Interaction
用户 ID,User ID
电子邮件地址,Email Address
电子邮件或短信,Emails or Text Messages
电话号码,Phone Number
當機資料,Performance Data
相片或影片,Photos or Videos
粗略位置,Coarse Location
精确位置,Precise Location
精確位置,Precise Location
联系人,Contacts
聯絡人,Contacts
裝置 ID,Device ID
裝置識別碼,Device ID
设备 ID,Device ID
購買記錄,Purchase History
购买历史记录,Purchase History
通訊錄,Contacts
遊戲內容,Gameplay Content
電子郵件地址,Email Address
電子郵件或訊息,Emails or Text Messages
電話號碼,Phone Number
電郵地址,Email Address
電郵或訊息,Emails or Text Messages
音訊資料,Audio Data
音频数据,Audio Data
